epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
170,529.751,0.07788,0.90351,1,0.58928,0.0083269,0.0083269,0.0083269
171,532.868,0.06948,0.88596,1,0.7551,0.008317,0.008317,0.008317
172,536.013,0.06628,0.90351,1,0.72559,0.0083071,0.0083071,0.0083071
173,539.42,0.09521,0.90351,1,0.79474,0.0082972,0.0082972,0.0082972
174,542.427,0.10412,0.92105,1,0.64423,0.0082873,0.0082873,0.0082873
175,545.419,0.08696,0.90351,1,0.82129,0.0082774,0.0082774,0.0082774
176,548.456,0.08554,0.92105,1,0.74658,0.0082675,0.0082675,0.0082675
177,551.464,0.08238,0.92105,1,0.70782,0.0082576,0.0082576,0.0082576
178,554.897,0.0678,0.92105,1,0.73883,0.0082477,0.0082477,0.0082477
179,557.919,0.07643,0.91228,1,0.74414,0.0082378,0.0082378,0.0082378
180,560.962,0.08321,0.90351,1,0.68906,0.0082279,0.0082279,0.0082279
181,563.93,0.07179,0.91228,1,0.66401,0.008218,0.008218,0.008218
182,566.947,0.08118,0.90351,1,0.69014,0.0082081,0.0082081,0.0082081
183,570.292,0.10205,0.91228,1,0.77002,0.0081982,0.0081982,0.0081982
184,573.362,0.09196,0.92105,1,0.58799,0.0081883,0.0081883,0.0081883
185,576.386,0.07021,0.91228,1,0.73132,0.0081784,0.0081784,0.0081784
186,579.393,0.0757,0.90351,1,0.57622,0.0081685,0.0081685,0.0081685
187,582.35,0.06872,0.91228,1,0.61472,0.0081586,0.0081586,0.0081586
188,585.529,0.06053,0.90351,1,0.65627,0.0081487,0.0081487,0.0081487
189,588.646,0.06242,0.92105,1,0.6456,0.0081388,0.0081388,0.0081388
190,591.633,0.06957,0.92982,1,0.83202,0.0081289,0.0081289,0.0081289
191,594.735,0.04474,0.90351,1,0.72363,0.008119,0.008119,0.008119
192,597.875,0.06977,0.89474,1,0.64713,0.0081091,0.0081091,0.0081091
193,601.125,0.07091,0.90351,1,0.71829,0.0080992,0.0080992,0.0080992
194,604.2,0.0809,0.91228,1,0.74597,0.0080893,0.0080893,0.0080893
195,607.206,0.0703,0.91228,1,0.80676,0.0080794,0.0080794,0.0080794
196,610.194,0.0661,0.90351,1,0.77277,0.0080695,0.0080695,0.0080695
197,613.189,0.08154,0.92105,1,0.61591,0.0080596,0.0080596,0.0080596
198,616.45,0.0727,0.92105,1,0.59311,0.0080497,0.0080497,0.0080497
199,619.498,0.06419,0.92982,1,0.64658,0.0080398,0.0080398,0.0080398
200,622.469,0.07482,0.92105,1,0.72882,0.0080299,0.0080299,0.0080299
201,625.449,0.08455,0.92105,1,0.65918,0.00802,0.00802,0.00802
202,628.445,0.06091,0.92105,1,0.61087,0.0080101,0.0080101,0.0080101
203,631.795,0.07455,0.92982,1,0.72729,0.0080002,0.0080002,0.0080002
204,634.803,0.04932,0.92105,1,0.68512,0.0079903,0.0079903,0.0079903
205,637.754,0.06378,0.92982,1,0.66986,0.0079804,0.0079804,0.0079804
206,640.71,0.06044,0.92982,1,0.66296,0.0079705,0.0079705,0.0079705
207,643.679,0.05327,0.92982,1,0.7103,0.0079606,0.0079606,0.0079606
208,646.734,0.05617,0.92982,1,0.82697,0.0079507,0.0079507,0.0079507
209,649.772,0.06038,0.92105,1,0.68013,0.0079408,0.0079408,0.0079408
210,652.763,0.06188,0.92105,1,0.71664,0.0079309,0.0079309,0.0079309
211,655.757,0.06201,0.9386,1,0.64259,0.007921,0.007921,0.007921
212,658.85,0.06319,0.9386,1,0.70972,0.0079111,0.0079111,0.0079111
213,662.146,0.06337,0.9386,1,0.58285,0.0079012,0.0079012,0.0079012
214,665.207,0.06829,0.92982,1,0.70258,0.0078913,0.0078913,0.0078913
215,668.185,0.07113,0.92982,1,0.61609,0.0078814,0.0078814,0.0078814
216,671.55,0.06683,0.92105,1,0.5999,0.0078715,0.0078715,0.0078715
217,674.5,0.05368,0.92982,1,0.66104,0.0078616,0.0078616,0.0078616
218,677.835,0.06746,0.92105,1,0.78021,0.0078517,0.0078517,0.0078517
219,680.895,0.0625,0.92105,1,0.66023,0.0078418,0.0078418,0.0078418
220,683.967,0.05561,0.92105,1,0.81465,0.0078319,0.0078319,0.0078319
221,687.03,0.06541,0.92105,1,0.97037,0.007822,0.007822,0.007822
